ond,avg_daily_searches,nb_days
MRS-OPO,138.0,1
PAR-HNL,138.0,1
MRS-HKT,138.0,1
LYS-ROM,137.0,1
PAR-GLA,137.0,1
PAR-CGN,137.0,1
BSL-MAD,137.0,1
MRS-CUN,136.0,1
MRS-VCE,136.0,1
MRS-STO,135.0,1
LYS-BUE,135.0,1
NCE-ZHT,135.0,1
PAR-HOU,135.0,1
RNS-FSC,135.0,1
MRS-VIE,134.0,1
BSL-BKK,134.0,1
BSL-WAW,134.0,1
TLS-NTE,134.0,1
PAR-IZM,134.0,1
PAR-MIR,134.0,1
MPL-LON,133.0,1
PAR-CPT,133.0,1
PAR-TLL,133.0,1
PAR-BLQ,133.0,1
BOD-DUB,133.0,1
PGF-PAR,132.0,1
PAR-BRI,131.0,1
BOD-IST,130.0,1
PAR-GRX,130.0,1
PAR-PTY,130.0,1
BOD-FAO,130.0,1
BOD-MRS,129.0,1
NTE-FRA,129.0,1
NCE-RIO,128.0,1
PAR-MED,128.0,1
PAR-DAR,127.0,1
PAR-RUH,127.0,1
LYS-RUN,127.0,1
MRS-DJE,126.0,1
NCE-AMS,125.0,1
MRS-BCN,125.0,1
NTE-TCI,125.0,1
PAR-BRS,124.0,1
NTE-SFO,124.0,1
LYS-CUN,123.0,1
MRS-TCI,123.0,1
BSL-DXB,123.0,1
BOD-BUD,122.0,1
NTE-ROM,122.0,1
BSL-AGP,122.0,1
LYS-MIL,121.0,1
LYS-HKT,121.0,1
TLS-YMQ,120.0,1
MRS-MIA,120.0,1
LYS-TLV,120.0,1
BES-FSC,120.0,1
LYS-BUD,119.0,1
PAR-DAC,119.0,1
BOD-GVA,119.0,1
PUF-PAR,118.0,1
MRS-NAP,118.0,1
MRS-VLC,118.0,1
PAR-COK,118.0,1
NCE-NTE,117.0,1
LYS-PMI,116.0,1
TLS-CUN,116.0,1
PAR-PSA,116.0,1
LYS-LAS,115.0,1
RNS-AMS,115.0,1
PAR-XRY,115.0,1
MRS-BOD,114.0,1
PAR-FSC,114.0,1
LYS-NTE,114.0,1
